feature,importance
aqi_roll_3h,0.322310848902588
aqi_lag_1h,0.22906662583338994
pm25,0.19381654636999293
aqi_lag_2h,0.16847226148904537
no2,0.041250527772044875
humidity,0.004725791679453295
aqi_roll_6h,0.00429712861690853
co,0.004112313323735731
aqi_roll_24h,0.0028578952167714056
pm25_roll_12h,0.002701761547736459
pm25_lag_1h,0.002531939580515708
o3,0.0025110153967837544
pressure,0.0017830167086825232
pm25_roll_3h,0.0017387001382116439
rainfall,0.0017039709184824483
no2_lag_24h,0.0016234970320148743
so2,0.0015962528135696394
no2_roll_3h,0.001310326526591599
no2_lag_1h,0.0012416246960592512
hour,0.0012117187537310124
pm25_roll_6h,0.0011942768491800934
aqi_lag_24h,0.0011395240125316006
wind_speed,0.0009929232364760188
no2_roll_6h,0.0008354844627848209
pm25_roll_24h,0.0008282670509886255
temperature,0.0007863512228039412
pm10,0.0007717962939383411
aqi_lag_3h,0.0007633439545585916
no2_roll_24h,0.000564065119009359
dayofweek,0.0005375557617641481
pm25_lag_24h,0.0005238070595352848
month,0.00012375275217132406
day,7.46491766977894e-05
is_weekend,2.433142216530193e-07
season,1.9641702942793119e-07
